date,nll_joint,nll_ind,n_stocks
2023-01-02,72.88444157923334,0.8009279294421247,91
2023-01-03,53.501550420970325,0.5879291255051684,91
2023-01-04,51.51487564328738,0.5660975345416196,91
2023-01-05,66.56160549487879,0.7314462142294372,91
2023-01-06,51.86080648853914,0.569898972401529,91
2023-01-09,78.5029059914016,0.8626692966088089,91
2023-01-10,57.43861211602941,0.631193539736587,91
2023-01-11,82.89339676197861,0.9010151821954197,92
2023-01-12,40.54792212714203,0.4407382839906742,92
2023-01-13,43.21201833719638,0.46464535846447724,93
2023-01-16,76.97009744722288,0.8276354564217514,93
2023-01-17,64.62328023401216,0.6948739810108834,93
2023-01-18,86.64797696252508,0.9316986770163986,93
2023-01-19,45.86577474990347,0.49318037365487605,93
2023-01-20,61.714264718172196,0.6635942442814214,93
2023-01-23,58.80133212218287,0.6322723884105685,93
2023-01-24,70.31456789322758,0.7560706225078234,93
2023-01-25,79.32835634552433,0.8529930789841326,93
2023-01-26,43.93780330041076,0.4724494978538792,93
2023-01-27,57.02252890664929,0.6131454721145085,93
2023-01-30,91.97601627756816,0.9889894223394426,93
2023-01-31,61.37054392623887,0.6598983217875147,93
2023-02-01,61.87344383369962,0.6653058476741894,93
2023-02-02,47.7206779815569,0.5131255696941602,93
2023-02-03,65.21820029056386,0.701270970866278,93
2023-02-06,66.93189941100312,0.7196978431290657,93
2023-02-07,47.904606174668565,0.5151032922007373,93
2023-02-08,70.59677226834435,0.7591050781542403,93
2023-02-09,71.67192349339314,0.77066584401498,93
2023-02-10,66.71018256555779,0.717313791027503,93
2023-02-13,35.69402203461573,0.38380668854425515,93
2023-02-14,52.93677119744761,0.5692125935209421,93
2023-02-15,62.064134156869045,0.6673562812566564,93
2023-02-16,62.3347791946868,0.6702664429536216,93
2023-02-17,42.386232514324874,0.45576594101424595,93
2023-02-22,83.04201736225609,0.8929249178737214,93
2023-02-23,30.848851829779584,0.3317080841911783,93
2023-02-24,38.75907977561966,0.41676429866257697,93
2023-02-27,81.10849177172199,0.8721343201260429,93
2023-02-28,113.17382955071129,1.216922898394745,93
2023-03-03,115.07507988009698,1.2645613173637031,91
2023-03-06,87.60988640574905,0.9627460044587808,91
2023-03-07,68.52379441768754,0.7530087298646982,91
2023-03-08,99.2356916678295,1.0905021062398845,91
2023-03-10,130.52268185914863,1.450252020657207,90
2023-03-13,44.66130628062117,0.4962367364513463,90
2023-03-14,129.1235876714292,1.4347065296825465,90
